DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,FI,2019-01-01,83.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,FR,2019-01-01,59.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,HR,2019-01-01,18.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,HU,2019-01-01,43.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,IE,2019-01-01,74.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,IT,2019-01-01,37.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LT,2019-01-01,49.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LU,2019-01-01,70.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LV,2019-01-01,45.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,MT,2019-01-01,56.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,NL,2019-01-01,71.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PL,2019-01-01,39.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PT,2019-01-01,42.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,RO,2019-01-01,40.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SE,2019-01-01,79.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SI,2019-01-01,39.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SK,2019-01-01,28.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,UK,2019-01-01,68.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,AT,2020-01-01,9.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BE,2020-01-01,26.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BG,2020-01-01,48.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CY,2020-01-01,29.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CZ,2020-01-01,32.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,DE,2020-01-01,15.0,,
