DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,AT,2015-01-01,479,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BE,2015-01-01,762,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BG,2015-01-01,708,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CH,2015-01-01,253,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CY,2015-01-01,57,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CZ,2015-01-01,734,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,DE,2015-01-01,3459,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,DK,2015-01-01,178,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EE,2015-01-01,67,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EL,2015-01-01,793,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,ES,2015-01-01,1689,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EU27_2020,2015-01-01,24358,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FI,2015-01-01,270,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FR,2015-01-01,3459,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HR,2015-01-01,348,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HU,2015-01-01,644,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IE,2015-01-01,162,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IS,2015-01-01,16,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IT,2015-01-01,3428,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LI,2015-01-01,2,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LT,2015-01-01,242,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LU,2015-01-01,36,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LV,2015-01-01,188,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,MT,2015-01-01,11,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NL,2015-01-01,531,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NO,2015-01-01,117,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PL,2015-01-01,2938,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PT,2015-01-01,593,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,RO,2015-01-01,1893,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SE,2015-01-01,259,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SI,2015-01-01,120,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SK,2015-01-01,310,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,UK,2015-01-01,1804,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,AT,2016-01-01,432,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BE,2016-01-01,670,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BG,2016-01-01,708,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CH,2016-01-01,216,,
