DATAFLOW,LAST UPDATE,freq,sex,isced11,iscedf13,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SK,2017-01-01,35.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,TR,2017-01-01,33.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,UK,2017-01-01,38.4,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,AT,2018-01-01,26.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BE,2018-01-01,25.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BG,2018-01-01,36.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CH,2018-01-01,22.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CY,2018-01-01,36.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CZ,2018-01-01,36.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DE,2018-01-01,28.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DK,2018-01-01,32.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EE,2018-01-01,39.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EL,2018-01-01,40.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ES,2018-01-01,29.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EU27_2020,2018-01-01,33.3,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FI,2018-01-01,27.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FR,2018-01-01,31.6,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HR,2018-01-01,37.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HU,2018-01-01,31.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IE,2018-01-01,32.4,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IS,2018-01-01,37.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IT,2018-01-01,38.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LI,2018-01-01,59.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LT,2018-01-01,31.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LU,2018-01-01,21.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LV,2018-01-01,31.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ME,2018-01-01,,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MK,2018-01-01,47.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MT,2018-01-01,32.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,NL,2018-01-01,30.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,NO,2018-01-01,29.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PL,2018-01-01,43.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PT,2018-01-01,37.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RO,2018-01-01,42.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RS,2018-01-01,42.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SE,2018-01-01,35.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SI,2018-01-01,34.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SK,2018-01-01,35.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,TR,2018-01-01,33.1,,
