DATAFLOW,LAST UPDATE,freq,border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2021-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2021-01-01,10.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2021-01-01,20.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2021-01-01,60.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2021-01-01,10.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2021-01-01,2180.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2022-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2022-01-01,35.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2022-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2022-01-01,4205.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2022-01-01,210.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2022-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2022-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2022-01-01,415.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2022-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2022-01-01,295.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2022-01-01,445.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2022-01-01,2020.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2023-01-01,10.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2023-01-01,65.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2023-01-01,15.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2023-01-01,5675.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2023-01-01,295.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2023-01-01,415.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2023-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2023-01-01,410.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2023-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2023-01-01,425.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2023-01-01,510.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2023-01-01,1225.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2024-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2024-01-01,155.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2024-01-01,20.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2024-01-01,5170.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2024-01-01,420.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2024-01-01,615.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2024-01-01,10.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2024-01-01,290.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2024-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2024-01-01,535.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2024-01-01,345.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2024-01-01,1320.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2025-01-01,15.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2025-01-01,180.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2025-01-01,255.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2025-01-01,4180.0,,
