DATAFLOW,LAST UPDATE,freq,unit,sex,age,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,SK,2015-01-01,161.4,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,TR,2015-01-01,1109.6,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,UK,2015-01-01,1556.9,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,AT,2015-01-01,238.8,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,BE,2015-01-01,155.6,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,BG,2015-01-01,158.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,CH,2015-01-01,196.4,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,CY,2015-01-01,29.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,CZ,2015-01-01,197.2,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,DE,2015-01-01,1548.6,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,DK,2015-01-01,107.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,EA21,2015-01-01,7515.9,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,EE,2015-01-01,26.2,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,EL,2015-01-01,325.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,ES,2015-01-01,1504.8,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,EU27_2020,2015-01-01,8702.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,I,FI,2015-01-01,87.3,,
